nodes,regressor,MAPE_before,MAPE_after
 5 -> 8,MLPRegressor,33.027020876005395,60.38607641413599
 5 -> 8,SGDRegressor,8.686969443521006,8.489047997139828
 5 -> 8,PassiveAggressiveRegressor,5.118596524985881,5.635019698106756
 8 -> 5,MLPRegressor,33.2773945869745,61.31677142058132
 8 -> 5,SGDRegressor,8.680268254654324,8.438981538277595
 8 -> 5,PassiveAggressiveRegressor,5.116952303810313,5.845219258849824
 5 -> 12,MLPRegressor,11.816063907323821,21.433796544381767
 5 -> 12,SGDRegressor,8.702016803152029,17.885054410489822
 5 -> 12,PassiveAggressiveRegressor,6.810841723783169,14.140891074905152
 8 -> 12,MLPRegressor,16655.832685382324,4638.596880221435
 8 -> 12,SGDRegressor,25819.983375267264,2588.282877623272
 8 -> 12,PassiveAggressiveRegressor,5434.975261864494,534.3740349637825
